,date,year,month,day,open,high,low,close,week
0,2017-02-02,2017,02,02,9502.25,9521.34,9413.77,9428.97,1
1,2017-02-03,2017,02,03,9450.06,9478.01,9423.93,9455.56,1
2,2017-02-06,2017,02,06,9467.67,9548.68,9467.67,9538.01,2
3,2017-02-07,2017,02,07,9527.42,9555.8,9512.56,9554.56,2
4,2017-02-08,2017,02,08,9540.77,9564.07,9505.79,9543.25,2
5,2017-02-09,2017,02,09,9555.52,9600.09,9540.51,9590.18,2
6,2017-02-10,2017,02,10,9612.67,9688.15,9612.67,9665.59,2
7,2017-02-13,2017,02,13,9690.39,9711.43,9681.1,9710.32,3
8,2017-02-14,2017,02,14,9726.74,9760.01,9698.29,9718.78,3
9,2017-02-15,2017,02,15,9724.13,9813.98,9723.04,9799.76,3
10,2017-02-16,2017,02,16,9826.89,9869.59,9753.16,9771.25,3
11,2017-02-17,2017,02,17,9779.16,9791.59,9754.54,9759.76,3
12,2017-02-18,2017,02,18,9771.21,9791.35,9770.75,9779.92,3
13,2017-02-20,2017,02,20,9795.81,9817.14,9743.36,9753.2,4
14,2017-02-21,2017,02,21,9761.27,9775.49,9721.36,9763.93,4
15,2017-02-22,2017,02,22,9786.25,9820.07,9770.1,9778.78,4
16,2017-02-23,2017,02,23,9774.08,9810.56,9748.94,9769.31,4
17,2017-02-24,2017,02,24,9757.67,9784.39,9740.18,9750.47,4
