,start_date,close_date,open,high,low,close
0,2022-1-3,2022-1-26,18260.23,18619.61,17633.03,17674.4
1,2022-2-7,2022-2-25,17750.7,18338.05,17554.97,17652.18
2,2022-3-1,2022-3-1,17657.5,17944.5,17657.5,17898.25
3,2022-4-1,2022-4-29,17657.76,17657.76,16219.41,16592.18
4,2022-5-3,2022-5-30,16593.21,16783.78,15616.68,16610.62
5,2022-6-1,2022-6-29,16718.91,16811.04,15102.4,15240.13
6,2022-7-1,2022-7-29,14812.13,15035.27,13928.66,15000.07
7,2022-8-1,2022-8-29,14982.27,15475.89,14545.69,14926.19
8,2022-9-1,2022-9-23,14981.0,14981.0,14109.71,14118.38
9,1999-1-5,1999-1-30,6310.41,6577.92,5949.45,5998.32
10,2022-9-1,2022-9-29,14981.0,14981.0,13462.57,13534.26
11,2022-10-3,2022-10-28,13359.26,13902.02,12629.48,12788.42
12,2022-11-1,2022-11-29,12933.12,14835.66,12868.25,14709.64
13,2022-12-1,2022-12-19,15059.92,15152.38,14411.81,14433.32
