,start_date,close_date,open,high,low,close
0,2020-1-2,2020-1-3,12026.5,12197.64,12023.6,12110.43
1,2020-1-6,2020-1-10,12035.71,12040.08,11777.45,12024.65
2,2020-1-13,2020-1-17,12069.61,12186.62,12006.08,12090.29
3,2020-1-20,2020-1-20,12107.56,12151.42,12101.55,12118.71
4,2020-1-30,2020-1-31,11933.23,11933.23,11418.22,11495.1
5,2020-2-3,2020-2-7,11365.9,11749.68,11138.03,11612.81
6,2020-2-10,2020-2-14,11514.72,11854.98,11423.34,11815.7
7,2020-2-17,2020-2-21,11770.3,11827.83,11642.95,11686.35
8,2020-2-24,2020-2-27,11615.28,11615.28,11274.52,11292.17
9,2020-3-2,2020-3-6,11184.66,11525.32,11049.85,11321.81
10,2020-3-9,2020-3-13,11221.76,11221.76,9636.15,10128.87
11,2020-3-16,2020-3-20,10069.42,10130.8,8523.63,9234.09
12,2020-3-23,2020-3-27,9025.55,9954.86,8750.14,9698.92
13,2020-3-30,2020-4-1,9571.22,9789.81,9415.52,9663.63
14,2020-4-6,2020-4-10,9707.75,10246.84,9651.52,10157.61
15,2020-4-13,2020-4-17,10147.56,10710.15,10080.65,10597.04
16,2020-4-20,2020-4-24,10612.45,10637.64,10140.09,10347.36
17,2020-4-27,2020-4-30,10407.49,11012.78,10407.49,10992.14
18,2020-5-4,2020-5-8,10781.51,10970.7,10658.5,10901.42
19,2020-5-11,2020-5-15,10942.18,11039.11,10730.55,10814.92
20,2020-5-18,2020-5-22,10753.21,11021.66,10730.7,10811.15
21,2020-5-25,2020-5-29,10812.94,11087.53,10719.25,10942.16
22,2020-6-1,2020-6-5,10971.4,11482.36,10971.4,11479.4
23,2020-6-8,2020-6-12,11539.0,11771.12,11244.64,11429.94
24,2020-6-15,2020-6-19,11436.28,11584.88,11299.45,11549.86
25,2020-6-22,2020-6-24,11553.91,11701.23,11530.85,11660.67
26,2020-6-29,2020-7-3,11608.8,11933.59,11500.65,11909.16
